amfi_code,sortino_ratio,sortino_rank
148567,2.3856443733688164,1
120843,2.3643200321667175,2
148569,2.1469139263460555,3
119551,2.140267129061793,4
120505,2.0293529404657473,5
149323,1.875101063919208,6
118632,1.8501325468557266,7
100033,1.8291339615146933,8
120504,1.8052937940992553,9
101206,1.7995628746984516,10
119094,1.703797480246301,11
119598,1.6753165700125516,12
148568,1.6327409778735174,13
149324,1.6197931764914104,14
119552,1.6097764896283082,15
102885,1.4357420130649485,16
120503,1.3379431500669232,17
125497,1.3306512447571364,18
118633,1.154475716923624,19
118635,1.137976718780742,20
120506,1.0958951614736472,21
102887,1.0887552508030014,22
120507,1.0521238822609291,23
120841,0.8625738849916584,24
149322,0.7621288703723165,25
118634,0.7460146308533571,26
125498,0.5088128197169233,27
101207,0.2766437962609234,28
119093,0.22108683979276353,29
120842,0.12469346986475667,30
119092,0.05257398559304798,31
119599,-0.09438726129459607,32
119095,-0.12818559275851926,33
120844,-0.1877230477424232,34
102886,-0.3472223025472727,35
100016,-0.35104746015230914,36
119120,-0.376767008170667,37
118636,-0.6135251287271029,38
100025,-0.9418212366054205,39
101208,-1.6810378667512842,40
